SIG,MRK,TRC,FREQ,PEAK AMPL,QPD AMPL,EAVG AMPL,PEAK LL1 DELTA,QPD LL4 DELTA,EAVG LL5 DELTA,COMPOSITE AMPCOR,RBW,RBW TYPE,TIMESTAMP,COMMENT,USE ANTENNA UNIT
106,False,1,86800000,22.1749188543953,21.353912079493,20.527366364161,---,-25.7497916275709,-16.5763373429029,0,9000,CISPR,2018/11/29 20:13:09,,False
107,False,1,87000000,21.4859387518563,20.8971860052743,20.0728604437508,---,-26.213925109197,-17.0382506707205,0,9000,CISPR,2018/11/29 20:13:11,,False
108,False,1,87200000,21.0470730902352,20.3849942328133,19.5369870306649,---,-26.7335242890654,-17.5815314912138,0,9000,CISPR,2018/11/29 20:13:13,,False
109,False,1,87800000,19.8924710394539,19.0453564764657,18.0691754461922,---,-28.0953842676353,-19.0715652979087,0,9000,CISPR,2018/11/29 20:13:16,,False
110,False,1,88000000,19.5783993841805,18.7282483221688,17.6831662298836,---,-28.4198998293395,-19.4649819216247,0,9000,CISPR,2018/11/29 20:13:18,,False
111,False,1,88300000,19.0281064154305,18.2159192206063,17.0809399725594,---,-28.9433400420132,-20.07831929006,0,9000,CISPR,2018/11/29 20:13:20,,False
112,False,1,88500000,18.8449704291024,18.014312470118,16.8625180365243,---,-29.1523541999088,-20.3041486335026,0,9000,CISPR,2018/11/29 20:13:23,,False
113,False,1,88800000,18.9171063543953,17.9890286566414,16.7933423163094,---,-29.1887491244965,-20.3844354648286,0,9000,CISPR,2018/11/29 20:13:25,,False
114,False,1,89700000,20.0280911566414,19.235130036036,18.133582794825,---,-27.9759810784353,-19.0775283196463,0,9000,CISPR,2018/11/29 20:13:27,,False
115,False,1,91200000,23.9449154974618,23.3964688421883,22.5354611517586,---,-23.8701978278385,-14.7312055182682,0,9000,CISPR,2018/11/29 20:13:29,,False
116,False,1,92900000,27.4204938055672,27.0380932928719,26.3684613348641,---,-20.2915363401179,-10.9611682981257,0,9000,CISPR,2018/11/29 20:13:32,,False
117,False,1,93500000,28.0707471014657,27.7194363714852,27.0783612372078,---,-19.6324154837269,-10.2734906180042,0,9000,CISPR,2018/11/29 20:13:34,,False
118,False,1,93800000,28.373313629786,27.9926831366219,27.3266293646493,---,-19.3702798297012,-10.0363336016739,0,9000,CISPR,2018/11/29 20:13:36,,False
119,False,1,94000000,28.4102093817391,28.0506741644539,27.3835599066414,---,-19.3196962092766,-9.98681046708911,0,9000,CISPR,2018/11/29 20:13:39,,False
120,False,1,94300000,28.4044720770516,28.0761334540047,27.4100873114266,---,-19.3053480308369,-9.97139417341508,0,9000,CISPR,2018/11/29 20:13:41,,False
121,False,1,94500000,28.4980618597664,28.0707852484383,27.4049222113289,---,-19.3181036438108,-9.98396668092013,0,9000,CISPR,2018/11/29 20:13:43,,False
122,False,1,94900000,28.2940594793953,27.9752575995125,27.3200299383797,---,-19.4284461075514,-10.0836737686842,0,9000,CISPR,2018/11/29 20:13:46,,False
123,False,1,95100000,28.2858273626961,27.865874970118,27.2297436834969,---,-19.5452361443533,-10.1813674309744,0,9000,CISPR,2018/11/29 20:13:48,,False
124,False,1,95900000,27.5984952093758,27.2350003363289,26.5879666449227,---,-20.205740407772,-10.8527740991782,0,9000,CISPR,2018/11/29 20:13:50,,False
